"ID","Notice ID","Title","Department","Sub_tier","Office","Type","Response Deadline","Naics Code","Link","Description"
"249","7b7781a7b208488095f4ebfb5d032bd2","7030--VISN 23-Pharmacy Antimicrobial Surveillance Software","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","NETWORK CONTRACT OFFICE 23 (36C263)","Presolicitation","2020-10-23T14:00:00-05:00","511210","https://beta.sam.gov/opp/7b7781a7b208488095f4ebfb5d032bd2/view","This is a Pre-Solicitation notice for the Department of Veterans Affairs, Network Contracting Office 23, for the procurement Pharmacy Antimicrobial Surveillance Software. The NAICS code for this procurement is 511210 with a size standard of $41.5 Million. "
"269","49b871a99fd44018b28fe9d4d52f3516","6640--TheraSphere Y-90 | Radiology","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","262-NETWORK CONTRACT OFFICE 22L (36C262)","Sources Sought","2020-10-23T12:00:00-07:00","325412","https://beta.sam.gov/opp/49b871a99fd44018b28fe9d4d52f3516/view","Page 4 of 4 Responses must be received no later than Friday, October 23, 2020 at 12:00 p.m. PST. THIS REQUEST FOR INFORMATION (RFI) IS ISSUED SOLELY FOR INFORMATION AND PLANNING PURPOSES ONLY AND DOES NOT CONSTITUTE A SOLICITATION. THE SUBMISSION OF PRICIN"
"320","655290fb6c33497a96026d207ea45bd8","LAWN CARE STATION DESTIN","HOMELAND SECURITY, DEPARTMENT OF","US COAST GUARD","BASE NEW ORLEANS(00029)","Combined Synopsis/Solicitation","2020-10-23T10:00:00-04:00","561730","https://beta.sam.gov/opp/655290fb6c33497a96026d207ea45bd8/view",""
"337","f1cf8975b55346cd8d9402658ca3f15d","6350--PACS, Intercom, and Security Video Systems Maintenance Services Support","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","NETWORK CONTRACT OFFICE 19 (36C259)","Combined Synopsis/Solicitation","2020-10-23T12:00:00-06:00","561621","https://beta.sam.gov/opp/f1cf8975b55346cd8d9402658ca3f15d/view","Please Review attached documents:"
"355","4a4fe80296df430cb502cd1226317c97","CIS Secure Computing, Inc., AN/USG-2B RACK INCO-R (Hard Drives and Batteries)","DEPT OF DEFENSE","DEPT OF THE NAVY","NAVSEA HQ","Presolicitation","2020-10-23T17:00:00-04:00","334111","https://beta.sam.gov/opp/4a4fe80296df430cb502cd1226317c97/view","The Naval Sea Systems Command (NAVSEA) intends utilize simplified acquisition procedures to award a sole source, firm-fixed-price contract to CIS Secure Computing, Inc. for the procurement of hard drives and batteries, up to 19 quantities each. Hard drive "
"370","4aae94a52e0640ffa862a894d00dc29b","Q509--ONSITE EMERGENCY MEDICINE PHYSICIAN SERVICES","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","246-NETWORK CONTRACTING OFFICE 6 (36C246)","Presolicitation","2020-10-23T16:00:00-04:00","621493","https://beta.sam.gov/opp/4aae94a52e0640ffa862a894d00dc29b/view","PRESOLICITATION NOTICE This Solicitation Notice announcement request for proposals qualified offerors interested and capable of providing On-Site Board Certified/Board Eligible in Emergency Medicine, Internal Medicine, or Family Practice Physicians to prov"
"396","8728750d27894b9598d70d73da5792c3","A0008283 Mixed Fuel Anniston AL","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA DISPOSITION SERVICES","Sale of Surplus Property","2020-10-23T10:43:00-04:00","","https://beta.sam.gov/opp/8728750d27894b9598d70d73da5792c3/view","See attached document for Sales Item General Details."
"410","5e5a4c216a7b43a9897f372973119439","Y1DZ--Construct Adult Day Health & Extended Care Support Building - St Cloud","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","PCAC NATIONAL ENERGY BUSINESS CENTER (36E776)","Sources Sought","2020-10-23T13:00:00-04:00","236220","https://beta.sam.gov/opp/5e5a4c216a7b43a9897f372973119439/view","SYNOPSIS: INTRODUCTION: In accordance with Federal Acquisition Regulation (FAR) 10.002(b)(2), this Sources Sought Notice is for market research and information purposes only at this time and shall not be construed as a solicitation or as an obligation on t"
"412","fc842af5ef0b4f40909b8e2fb4740bd3","2420--Grounds Maintenance/Cemetery equipment for North Atlantic and South East District.","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","NATIONAL CEMETERY ADMIN (36C786)","Combined Synopsis/Solicitation","2020-10-23T12:00:00-04:00","333112","https://beta.sam.gov/opp/fc842af5ef0b4f40909b8e2fb4740bd3/view","The basis of award is stated as best value ; however, the RFQ does not identify the criteria by which best value will be determined, i.e. for commercial items it all contractors are proposing the same commercial item what constitutes best value other than "
"416","ebc81cdbbffe411a8b1ff39c01d1087d","Services for Arroyo Colorado Dredging and Sediment Removal","INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO","INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO","INTERNAT. BOUNDARY AND WATER COMM.","Solicitation","2020-10-23T15:00:00-06:00","238910","https://beta.sam.gov/opp/ebc81cdbbffe411a8b1ff39c01d1087d/view","Services Contract to provide Arroyo Colorado Dredging and Sediment Removal at Harlingen from US 77 Business to Cemetery Road. Amendment 001 replace Att 1. PWS which provides more specific requirement due environmental compliance. Amendment 002"
"420","892fb891dc7647b0aad8f586b7f72ea8","Compellent","DEPT OF DEFENSE","DEPT OF THE ARMY","U S ARMY DEPOT LETTERKENNY","Presolicitation","2020-10-23T12:30:00-04:00","541519","https://beta.sam.gov/opp/892fb891dc7647b0aad8f586b7f72ea8/view","The Government intends to issue a firm-fixed price, brand name contract for Compellent Maintenance & Support."
"421","a2b81647c5fe4b9b83f4335c29148b13","ROYAL BLUE NOMEX","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA MARITIME - PUGET SOUND","Solicitation","2020-10-23T10:00:00-07:00","313110","https://beta.sam.gov/opp/a2b81647c5fe4b9b83f4335c29148b13/view","THIS SOLICITATION AND ANY SUBSEQUENT AMENDMENTS WILL BE POSTED TO THE BETA SAM WEBSITE: BETA.SAM.GOV ELECTRONIC SUBMISSION OF QUOTES IS AVAILABLE THROUGH THE BETA SAM WEBSITE. FOR YOUR BID TO BE DEEMED RESPONSIVE A SIGNED AND COMPLETED SOLICITATION MUST BE"
"422","f86090e5b3454f1497ebc40a58b2227d","Services for Arroyo Colorado Vegetation Management","INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO","INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO","INTERNAT. BOUNDARY AND WATER COMM.","Solicitation","2020-10-23T15:00:00-06:00","238910","https://beta.sam.gov/opp/f86090e5b3454f1497ebc40a58b2227d/view","Services Contract to provide Arroyo Colorado Vegetation Management at Harlingen from US 77 Business to Cemetery Road. Amendment 001. replace Att 1. PWS which provides more specific requirement due environmental compliance. Amendment 002 to incorporate Gove"
"425","ea990c886db6420f8276f5026fdf5cfb","W912DR20B0020 Dalecarlia Clearwells Maintenance","DEPT OF DEFENSE","DEPT OF THE ARMY","W2SD ENDIST BALTIMORE","Solicitation","2020-10-23T11:30:00-04:00","237110","https://beta.sam.gov/opp/ea990c886db6420f8276f5026fdf5cfb/view","The Washington Aqueduct provides potable water to approximately one million people in the District of Columbia and Northern Virginia. As part of the water treatment and supply system, the Washington Aqueduct maintains and operates the Dalecarlia and McMill"
"446","67d6597bc6f3440a8f84468926ece45a","GEO-RUBBER","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA MARITIME - PUGET SOUND","Solicitation","2020-10-23T10:00:00-07:00","326299","https://beta.sam.gov/opp/67d6597bc6f3440a8f84468926ece45a/view","The RFQ will be posted at http://www.BETA.SAM.gov/. A bidders list will not be maintained by this office, no telephone or fax requests for the RFQ package will be accepted. Failure to respond to the electronically posted RFQ and associated amendments prior"
"485","f0a041ddafcb478e9892bb51f83c86c9","American Association of Civil Engineers (ASCE) Online Database: Journals and Proceedings","DEPT OF DEFENSE","DEPT OF THE ARMY","W6QM MICC-WEST POINT","Special Notice","2020-10-23T15:00:00-04:00","518210","https://beta.sam.gov/opp/f0a041ddafcb478e9892bb51f83c86c9/view","Subject: Award a Sole Source Contract to the American Society of Civil Engineers (ASCE) FAR 6.302-1 - Only one responsible source (except brand name) The U.S. Military Academy, Mission & Installation Contracting Command (MICC), West Point, NY award a sole "
"486","b5bdcf21bf15415bb088a57b273f1a2a","Headquarters Marine Corps Financial Management","DEPT OF DEFENSE","DEPT OF THE NAVY","COMMANDING OFFICER","Sources Sought","2020-10-23T10:00:00-04:00","541611","https://beta.sam.gov/opp/b5bdcf21bf15415bb088a57b273f1a2a/view","Headquarters Marine Corps Financial Management - Please see the Attachment for the full Request for Information (RFI)."
"491","3c238c462da542d3b20a7d037db1eb3c","American Association of Civil Engineers (ASCE) Online Database: Journals and Proceedings","DEPT OF DEFENSE","DEPT OF THE ARMY","W6QM MICC-WEST POINT","Special Notice","2020-10-23T15:00:00-04:00","518210","https://beta.sam.gov/opp/3c238c462da542d3b20a7d037db1eb3c/view","Subject: Award a Sole Source Contract to the American Society of Civil Engineers (ASCE) FAR 6.302-1 - Only one responsible source (except brand name) The U.S. Military Academy, Mission & Installation Contracting Command (MICC), West Point, NY award a sole "
"493","e5147fc32e614f409f3303553737f8db","PROVIDE CORNELL CARR BRAND NAME BRIDGE WINDOWS FOR CGC STEADFAST","HOMELAND SECURITY, DEPARTMENT OF","US COAST GUARD","SFLC PROCUREMENT BRANCH 1(00080)","Combined Synopsis/Solicitation","2020-10-23T14:00:00-04:00","332321","https://beta.sam.gov/opp/e5147fc32e614f409f3303553737f8db/view","USCGC STEADFAST (WMEC-623) 2185 SE 12th PL Warrenton, OR 97146 -9693 6. DELIVERY DATE: 1 April 2021 B. As stated below, the provision at FAR 52.212-2, Evaluation-Commercial Items- applies with the following addenda: Award of a contract will be based on the"
"509","1b652928bf8d4bf089cc1126d681ebe9","NOMEX DECK","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA MARITIME - PUGET SOUND","Solicitation","2020-10-23T10:00:00-07:00","332312","https://beta.sam.gov/opp/1b652928bf8d4bf089cc1126d681ebe9/view","THIS SOLICITATION AND ANY SUBSEQUENT AMENDMENTS WILL BE POSTED TO THE BETA SAM WEBSITE: BETA.SAM.GOV ELECTRONIC SUBMISSION OF QUOTES IS AVAILABLE THROUGH THE BETA SAM WEBSITE. FOR YOUR BID TO BE DEEMED RESPONSIVE A SIGNED AND COMPLETED SOLICITATION MUST BE"
"513","bf01c62095894706a166ca28bcc280f2","FILTER ELEMENT, AIR","HOMELAND SECURITY, DEPARTMENT OF","US COAST GUARD","SFLC PROCUREMENT BRANCH 1(00080)","Combined Synopsis/Solicitation","2020-10-23T09:00:00-04:00","333413","https://beta.sam.gov/opp/bf01c62095894706a166ca28bcc280f2/view","The United States Coast Guard Surface Forces Logistics Center has a "
"520","2160d33c2f9e4bf4bad5af6f2a1c371a","NAVSUP Fleet Logistics Center, Jacksonville, FLCJ Provisions Requirement","DEPT OF DEFENSE","DEPT OF THE NAVY","NAVSUP FLT LOG CTR JACKSONVILLE","Combined Synopsis/Solicitation","2020-10-23T11:00:00-04:00","311411","https://beta.sam.gov/opp/2160d33c2f9e4bf4bad5af6f2a1c371a/view","The NAVSUP Fleet Logistics Center, Jacksonville, FLCJ has a requirement for providing frozen, chilled, and dry provisions for USS WILLIAM P. LAWRENCE during Fourth Fleet Operations in the Fourth Fleet AOR on 04 NOVEMBER 2020 (plus or minus 48 hour). Full d"
"552","aae1eb181295455c982b4e6ec62fb328","heating elements","HOMELAND SECURITY, DEPARTMENT OF","US COAST GUARD","SFLC PROCUREMENT BRANCH 1(00080)","Combined Synopsis/Solicitation","2020-10-23T09:00:00-04:00","333414","https://beta.sam.gov/opp/aae1eb181295455c982b4e6ec62fb328/view","The United States Coast Guard Surface Forces Logistics Center has a "
"558","74518c599b724bd2b1938891a906ff0a","An Ancillary Inspection/Engineering Support Contract associated with the TF-33 Engine","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA AVIATION","Sources Sought","2020-10-23T17:00:00-04:00","336412","https://beta.sam.gov/opp/74518c599b724bd2b1938891a906ff0a/view","DISCLAIMER: THE GOVERNMENT DOES NOT INTEND TO AWARD A CONTRACT ON THE BASIS OF THIS POTENTIAL SOURCES SOUGHT (PSS) ALONE OR TO OTHERWISE PAY FOR THE INFORMATION SOLICITED. This PSS is issued for information and planning purposes only and does not constitut"
"560","16ccbd5df9f54d6ab2c629126f3026c7","J065--Siemens Medicalis Worklist Manager Support","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","NETWORK CONTRACT OFFICE 23 (36C263)","Presolicitation","2020-10-23T10:00:00-05:00","811219","https://beta.sam.gov/opp/16ccbd5df9f54d6ab2c629126f3026c7/view","This is a Notice of Intent published in accordance with Federal Acquisition Regulation (FAR) 5.101(a)(1) requiring the dissemination of information regarding proposed contract actions. This Notice of Intent is for a proposed award of a sole source, firm-fi"
"564","e3bb4f7e50fb4a57b817870cce79123d","General Services Administration (GSA) seeks to lease the following space in Neptune, NJ","GENERAL SERVICES ADMINISTRATION","PUBLIC BUILDINGS SERVICE","PBS CENTRAL OFFICE - BROKER SVCS","Presolicitation","2020-10-23T16:30:00-04:00","531120","https://beta.sam.gov/opp/e3bb4f7e50fb4a57b817870cce79123d/view","U.S. GOVERNMENT Project No: 9NJ2243-1 General Services Administration (GSA) seeks to lease the following space: State: New Jersey City: Neptune Delineated Area: North: Route 36 between Route 18 Ocean Boulevard East: Ocean Boulevard from Route 36 to Cedar A"
"592","84dd8ac5b7ae436c813e74473ba14b64","Notice of Intent to Sole Source","DEPT OF DEFENSE","DEPT OF THE AIR FORCE","FA9300 AFTC PZR","Special Notice","2020-10-23T14:00:00-07:00","811310","https://beta.sam.gov/opp/84dd8ac5b7ae436c813e74473ba14b64/view","AFRL/RQR"
"594","406a2bff361c48c2b127bb5c86791a60","Battery","DEPT OF DEFENSE","DEPT OF THE ARMY","W6QK ACC-APG ADELPHI","Combined Synopsis/Solicitation","2020-10-23T11:59:00-04:00","335912","https://beta.sam.gov/opp/406a2bff361c48c2b127bb5c86791a60/view","COMBO SYNOPSIS SOLICITATION FOR COMMERCIAL ITEMS Class Code: 40 NAICS Code: 335912 Subject: The Government requires quantity seventy-six (76) Battery Packs with shipping to Aberdeen Proving Ground, APG, MD. Solicitation Number: W911QX21Q0011 Set-Aside Code"
"627","58af29028b494546b79eb8edb5bb89b0","INDUSTRY MANUFACTURING CAPABILITY FOR ENHANCED COMBAT RUBBER RECONNAISSANCE CRAFT (E-CRRC)","DEPT OF DEFENSE","DEPT OF THE NAVY","COMMANDER","Presolicitation","2020-10-23T12:00:00-04:00","336612","https://beta.sam.gov/opp/58af29028b494546b79eb8edb5bb89b0/view","Marine Corps Systems Command (MCSC) Program Manager for Infantry Combat Equipment (PM ICE) requires a Berry Amendment compliant E-CRRC. "
"629","543db261b8af4446a0100ffea236d2ef","Website Development","SENATE, THE","THE UNITED STATES SENATE SERGEANT AT ARMS","SENATE SERGEANT AT ARMS","Solicitation","2020-10-23T12:00:00-04:00","541511","https://beta.sam.gov/opp/543db261b8af4446a0100ffea236d2ef/view","Please find additional Q&A in the attached Excel document, 2021-R-008 - Offeror Questions & Responses - Final, along with the attached Solicitation Amendment 001."
"654","ccd32586f32648fb9444b4fdd723138c","Wastewater Composition Analysis","DEPT OF DEFENSE","DEPT OF THE NAVY","COMMANDING GENERAL","Solicitation","2020-10-23T11:00:00-04:00","541380","https://beta.sam.gov/opp/ccd32586f32648fb9444b4fdd723138c/view","Quarterly analysis of wastewater composition, to be conducted within the parameters outlined within the performance work statement for Wastewater Residuals, Toxicity Characteristic Leaching Procedures (TCLP) and Compost Parameters."
"680","f061c681de2845d8acfd7e29e79065e1","OK-276 Cable Pulleys & Associated Components","DEPT OF DEFENSE","DEPT OF THE NAVY","NUWC DIV NEWPORT","Solicitation","2020-10-23T14:00:00-04:00","332510","https://beta.sam.gov/opp/f061c681de2845d8acfd7e29e79065e1/view","Amendment 0001: The purpose of this amendment is to provide additional drawings required to quote for line item 0007, Override Handle; clarify a question submitted in response to this solicitation; and extend the closing date of the solicitation as detaile"
"693","8992dbc16d8c40769fa862c38369a427","H212--Fire protection systems maintenance Lyons VA Medical Center","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","242-NETWORK CONTRACT OFFICE 02 (36C242)","Solicitation","2020-10-23T10:00:00-04:00","238990","https://beta.sam.gov/opp/8992dbc16d8c40769fa862c38369a427/view","See attached documents for description."
"696","fbe5a486ae204e5caf21faf06e01caac","2420--Grounds Maintenance/Cemetery equipment for North Atlantic and South East District.","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","NATIONAL CEMETERY ADMIN (36C786)","Combined Synopsis/Solicitation","2020-10-23T12:00:00-04:00","333112","https://beta.sam.gov/opp/fbe5a486ae204e5caf21faf06e01caac/view","Solicitation 36C78620Q0256 has been extended and will now close on 10-23-2020 at 12:00 Eastern Time, New York, USA."
"701","de03e104cc8845cd9a33fdf66ab40202","H212--Fire protection systems maintenance Lyons VA Medical Center","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","242-NETWORK CONTRACT OFFICE 02 (36C242)","Solicitation","2020-10-23T10:00:00-04:00","238990","https://beta.sam.gov/opp/de03e104cc8845cd9a33fdf66ab40202/view","The New Jersey Healthcare System at Lyons Campus has a requirement for annual and semi-annual inspection, testing, and maintenance of their fire protection systems. These systems include: portable fire extinguishers, fire alarm system, kitchen hood suppres"
"814","459ac59f433b4f04b374fef0ea7d37ed","Removal and Replacement of Existing Electrical Equipment , Including Airfield Lighting and Airfield Vault Equipment and Reconstruction of Runway 05-23 PAAF, NC.","DEPT OF DEFENSE","DEPT OF THE ARMY","US ARMY ENGINEER DISTRICT SAVANNAH","Solicitation","2020-10-23T13:00:00-04:00","237310","https://beta.sam.gov/opp/459ac59f433b4f04b374fef0ea7d37ed/view","Amendment 0006 posted"
"821","d755724c3da74d089a02aa2f66af0b32","4010014728553-rope wire/4030014680800-socket,wire rope/2895014686261-motor pneumatic","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA AVIATION","Sources Sought","2020-10-23T02:00:00-04:00","332618","https://beta.sam.gov/opp/d755724c3da74d089a02aa2f66af0b32/view",""
"832","730174a03d1746a59f18c15233dbecb4","Packing & Crating Services","DEPT OF DEFENSE","DEPT OF THE AIR FORCE","FA4877  355 CONS PK","Combined Synopsis/Solicitation","2020-10-23T17:00:00-07:00","488991","https://beta.sam.gov/opp/730174a03d1746a59f18c15233dbecb4/view","This solicitation is for packing, crating, and local drayage services at or near Davis-Monthan AFB, further details regarding the work to be performed by the awarded contractor are listed in the performance work statement (Attachment 2). The awarded contra"
"867","b5d33bdb29234c50b975f90e180e3e42","ACTUATOR","DEPT OF DEFENSE","DEPT OF THE ARMY","W6QK CCAD CONTR OFF","Presolicitation","2020-10-23T15:00:00-05:00","811310","https://beta.sam.gov/opp/b5d33bdb29234c50b975f90e180e3e42/view","PM Maintenanace for Actuator Support for BBS#1"
"879","454d3643fe024507a58163b17bf680a2","U.S. NAVAL STATION KINGS BAY MAINTENANCE DREDGING, ENTRANCE CHANNEL, CUT-1N THROUGH RANGE-E, 49, 45, AND 44-FOOT PROJECT, CAMDEN COUNTY, GEORGIA AND NASSAU COUNTY, FLORIDA","DEPT OF DEFENSE","DEPT OF THE ARMY","US ARMY ENGINEER DISTRICT JACKSONVI","Solicitation","2020-10-23T14:00:00-04:00","237990","https://beta.sam.gov/opp/454d3643fe024507a58163b17bf680a2/view","A Pre-Proposal Conference will be held on Tuesday 6 October 2020"
"1128","3adca73f580843aeacef698b3997e7db","7010--614-21-1-9940-0004 - Automated Workflow for Intravenous (IV) Compounds for Patient Administration","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","249-NETWORK CONTRACT OFFICE 9 (36C249)","Sources Sought","2020-10-23T10:00:00-04:00","334118","https://beta.sam.gov/opp/3adca73f580843aeacef698b3997e7db/view","See attached Sources Sought-Automated_IV_Workflow.pdf for details."
"1215","476af17da9ff420ebd361412365c0a33","BLC Pre-Packaged Meals (28 OCt - 19 NOV)","DEPT OF DEFENSE","DEPT OF THE ARMY","W7PA USPFO ACTIVITY PR ARNG","Combined Synopsis/Solicitation","2020-10-23T10:00:00-04:00","311991","https://beta.sam.gov/opp/476af17da9ff420ebd361412365c0a33/view","This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice. This announcement constitutes the only notice. A written solicitation"
"1227","53828a2eb57441d0b1bcd0e5d92b793e","UNARMED SECURITY SERVICE","DEPT OF DEFENSE","DEPT OF THE AIR FORCE","FA8730 DIGITAL DIRECTORATE AFLCMC H","Presolicitation","2020-10-23T16:00:00-04:00","561612","https://beta.sam.gov/opp/53828a2eb57441d0b1bcd0e5d92b793e/view","General scope of work shall be to supply all labor, materials, equipment and incidentals necessary to provide appropriate unarmed security guard services at the U.S. Government owned National Capitol Region (NCR) site."
"1258","a2b09dbf356e4d33871db36f0f3d41db","5836--Operating Room Video Replacement","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","246-NETWORK CONTRACTING OFFICE 6 (36C246)","Solicitation","2020-10-23T07:00:00-04:00","334310","https://beta.sam.gov/opp/a2b09dbf356e4d33871db36f0f3d41db/view","The Veterans Health Administration (VHA), Charleston VA Medical Center (VAMC) located at 109 Bee St, Charleston, SC 29401 will be soliciting quotes for an Operating Room Camera System. The contractor shall provide all labor, material, supplies, management "
